submission_pk,User,RMSE,RMSE@10,RMSE@20,RMSE@30,RMSE@40
509474,wonderful_tonight,- (-),,
506929,ron.chatt,- (-),,
508039,rtdesetty,- (-),,
522415,wnlckwd,- (-),,
517297,aa,- (-),,
525874,unituebingenCL,- (-),,
521267,zniu,- (-),,
524341,Muntaha,- (-),,
529337,Enas,- (-),,
512151,aapanaetov,- (-),,
513085,jtoma,- (-),,
514421,utopiaisnotreal,- (-),,
520000,AAARRRR,- (-),,
511243,will_go,- (-),,
529349,aagafiyatullina,- (-),,
521670,ttzhang,- (-),,
520137,Suihan,- (-),,
508578,granilace,- (-),,
528078,heidy,- (-),,
507344,milkstout,- (-),,
509521,Kayal_Sampath,- (-),,
524131,allenchen,- (-),,
528728,serjtroshin,- (-),,
514011,Malak-AG,- (-),,
520028,kevintest,- (-),,
528227,Raghavan,- (-),,
518908,prateekgupta2533,- (-),,
509393,jedismot,- (-),,
529513,popoeltro,- (-),,
517100,exile025,- (-),,
521069,TLau,- (-),,
517365,Ferryman,- (-),,
499446,grekislife,- (-),,
506815,nabilhossain,- (-),,
524284,BramVanroy,- (-),,
510461,Pramodith,- (-),,
529535,appuzanova,- (-),,
